anio,mes,municipio_id,municipio_nombre,monto
2010,3,06056,Bahía Blanca,178096.87
2010,3,06063,Balcarce,48016.73
2010,3,06070,Baradero,38910.07
2010,3,06084,Benito Juárez,23490.89
2010,3,06091,Berazategui,185237.29
2010,3,06098,Berisso,81649.25
2010,3,06105,Bolívar,32701.02
2010,3,06112,Bragado,39531.01
2010,3,06119,Brandsen,32390.56
2010,3,06126,Campana,83304.97
2010,3,06134,Cañuelas,46050.55
2010,3,06140,Capitán Sarmiento,24422.24
2010,3,06147,Carlos Casares,23180.41
2010,3,06154,Carlos Tejedor,26181.5
2010,3,06161,Carmen de Areco,30838.31
2010,3,06168,Castelli,23904.84
2010,3,06210,Chacabuco,40669.34
2010,3,06218,Chascomús,31252.22
2010,3,06224,Chivilcoy,41600.71
2010,3,06182,Coronel de Marina Leonardo Rosales,42739.03
2010,3,06175,Colón,31252.22
2010,3,06189,Coronel Dorrego,22249.08
2010,3,06196,Coronel Pringles,31355.7
2010,3,06203,Coronel Suárez,38703.14
2010,3,06231,Daireaux,31769.64
2010,3,06238,Dolores,38496.16
2010,3,06245,Ensenada,49775.98
2010,3,06252,Escobar,126665.01
2010,3,06260,Esteban Echeverría,199414.7
2010,3,06266,Exaltación de la Cruz,50086.43
2010,3,06270,Ezeiza,113625.98
2010,3,06274,Florencio Varela,270922.55
2010,3,06277,Florentino Ameghino,19765.46
2010,3,06280,General Alvarado,41290.24
2010,3,06287,General Alvear,24422.24
2010,3,06294,General Arenales,21317.71
2010,3,06301,General Belgrano,30734.82
2010,3,06308,General Guido,9003.03
2010,3,06315,General Juan Madariaga,28147.71
2010,3,06322,General la Madrid,26595.42
2010,3,06329,General las Heras,42428.57
2010,3,06336,General Lavalle,19454.99
2010,3,06343,General Paz,23283.93
2010,3,06351,General Pinto,23076.94
2010,3,06357,General Pueyrredón,277028.11
2010,3,06364,General Rodríguez,76371.52
2010,3,06371,General San Martín,211729.34
2010,3,06385,General Viamonte,29596.49
2010,3,06392,General Villegas,37357.83
2010,3,06399,Guaminí,17799.25
2010,3,06406,Hipólito Yrigoyen,18006.2
2010,3,06408,Hurlingham,102656.6
2010,3,06410,Ituzaingó,105036.76
2010,3,06412,José C. Paz,224250.98
2010,3,06413,Junín,71714.73
2010,3,06420,La Costa,70576.39
2010,3,06427,La Matanza,667268.46
2010,3,06441,La Plata,261919.38
2010,3,06434,Lanús,209556.17
2010,3,06448,Laprida,22352.56
2010,3,06455,Las Flores,31148.78
2010,3,06462,Leandro N. Alem,19041.06
2010,3,06469,Lincoln,39427.51
2010,3,06476,Lobería,30838.31
2010,3,06483,Lobos,42014.62
2010,3,06490,Lomas de Zamora,328563.46
2010,3,06497,Luján,96240.56
2010,3,06505,Magdalena,26802.38
2010,3,06511,Maipú,17799.25
2010,3,06515,Malvinas Argentinas,231080.97
2010,3,06518,Mar Chiquita,33528.89
2010,3,06525,Marcos Paz,77095.9
2010,3,06532,Mercedes,60331.4
2010,3,06539,Merlo,320905.59
2010,3,06547,Monte,34046.35
2010,3,06553,Monte Hermoso,27009.36
2010,3,06560,Moreno,309108.33
2010,3,06568,Morón,177372.45
2010,3,06574,Navarro,23904.84
2010,3,06581,Necochea,65505.63
2010,3,06588,9 de Julio,39013.56
2010,3,06595,Olavarría,75854.09
2010,3,06602,Patagones,39531.01
2010,3,06609,Pehuajó,41393.72
2010,3,06616,Pellegrini,17385.31
2010,3,06623,Pergamino,73887.86
2010,3,06630,Pila,17281.8
2010,3,06638,Pilar,189583.64
2010,3,06644,Pinamar,38806.61
2010,3,06648,Presidente Perón,85064.24
2010,3,06651,Puán,18834.08
2010,3,06655,Punta Indio,25146.65
2010,3,06658,Quilmes,312109.37
2010,3,06665,Ramallo,42325.12
2010,3,06672,Rauch,26595.42
2010,3,06679,Rivadavia,28044.21
2010,3,06686,Rojas,30424.36
2010,3,06693,Roque Pérez,29596.49
2010,3,06700,Saavedra,22559.53
2010,3,06707,Saladillo,36943.87
2010,3,06721,Salliqueló,15833.03
2010,3,06714,Salto,34770.72
2010,3,06728,San Andrés de Giles,38806.61
2010,3,06735,San Antonio de Areco,29906.93
2010,3,06742,San Cayetano,21835.14
2010,3,06749,San Fernando,142291.2
2010,3,06756,San Isidro,106692.51
2010,3,06760,San Miguel,194343.96
2010,3,06763,San Nicolás,107106.43
2010,3,06770,San Pedro,60020.97
2010,3,06778,San Vicente,71714.73
2010,3,06784,Suipacha,18937.58
2010,3,06791,Tandil,80096.97
2010,3,06798,Tapalqué,16971.37
2010,3,06805,Tigre,212764.18
2010,3,06812,Tordillo,12728.5
2010,3,06819,Tornquist,19248.02
2010,3,06826,Trenque Lauquen,35702.07
2010,3,06833,Tres Arroyos,54536.26
2010,3,06840,Tres de Febrero,136496.05
2010,3,06847,Tres Lomas,18109.67
2010,3,06854,25 de Mayo,36633.43
2010,3,06861,Vicente López,79993.47
2010,3,06868,Villa Gesell,37461.31
2010,3,06875,Villarino,41600.71
2010,3,06882,Zárate,88479.19
2010,4,06007,Adolfo Alsina,20139.19
2010,4,06014,Adolfo Gonzales Chaves,24454.74
2010,4,06021,Alberti,18597.93
2010,4,06028,Almirante Brown,295615.91
2010,4,06077,Arrecifes,38839.96
2010,4,06035,Avellaneda,183103.03
2010,4,06042,Ayacucho,24043.74
2010,4,06049,Azul,52505.92
2010,4,06056,Bahía Blanca,176835.19
2010,4,06063,Balcarce,47676.57
2010,4,06070,Baradero,38634.47
2010,4,06084,Benito Juárez,23324.48
2010,4,06091,Berazategui,183925.04
2010,4,06098,Berisso,81070.84
2010,4,06105,Bolívar,32469.37
2010,4,06112,Bragado,39250.95
2010,4,06119,Brandsen,32161.1
2010,4,06126,Campana,82714.84
2010,4,06134,Cañuelas,45724.31
2010,4,06140,Capitán Sarmiento,24249.24
2010,4,06147,Carlos Casares,23016.22
2010,4,06154,Carlos Tejedor,25996
2010,4,06161,Carmen de Areco,30619.84
2010,4,06168,Castelli,23735.48
2010,4,06210,Chacabuco,40381.24
2010,4,06218,Chascomús,31030.84
2010,4,06224,Chivilcoy,41305.99
2010,4,06182,Coronel de Marina Leonardo Rosales,42436.3
2010,4,06175,Colón,31030.84
2010,4,06189,Coronel Dorrego,22091.47
2010,4,06196,Coronel Pringles,31133.58
2010,4,06203,Coronel Suárez,38428.94
2010,4,06231,Daireaux,31544.61
2010,4,06238,Dolores,38223.47
2010,4,06245,Ensenada,49423.36
2010,4,06252,Escobar,125767.7
2010,4,06260,Esteban Echeverría,198002
